英単語,日本語,英語意味
abandon,放棄します,the trait of lacking restraint or control; reckless freedom from inhibition or worry
able,できます,(usually followed by `to') having the necessary means or skill or know-how or authority to do something
abnormal,異常な,not normal; not typical or usual or regular or conforming to a norm
aboard,乗って,"on a ship, train, plane or other vehicle"
aborigine,原住民,an indigenous person who was born in a particular place
above,上記,an earlier section of a written text
absence,不在,the state of being absent
absent,不在の,go away or leave
absolute,絶対の,something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
absolutely,全く,completely and without qualification; used informally as intensifiers
absorb,吸収する,become imbued
abstract,概要,a concept or idea not associated with any specific instance
abundance,豊富,the property of a more than adequate quantity or supply
abundant,豊か,present in great quantity
academic,アカデミック,an educator who works at a college or university
academy,学校,a secondary school (usually private)
accent,アクセント,distinctive manner of oral expression
acceptance,受け入れ,the mental attitude that something is believable and should be accepted as true
access,アクセス,the right to enter
accessible,アクセス,capable of being reached
accessory,アクセサリー,"clothing that is worn or carried, but not part of your main clothing"
accidental,不慮,a musical notation that makes a note sharp or flat or natural although that is not part of the key signature
accidentally,誤っ,without advance planning
accompany,添えます,be present or associated with an event or entity
accomplish,成し遂げます,put in effect
account,アカウント,a record or narrative description of past events
accountant,会計士,someone who maintains and audits business accounts
accuracy,正確さ,the quality of being near to the true value
accurate,正確,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
accurately,正しく,with few mistakes
accuse,訴えます,bring an accusation against; level a charge against
accustom,慣らします,make psychologically or physically used (to something)
ache,痛み,a dull persistent (usually moderately intense) pain
achievement,成果,the action of accomplishing something
acknowledge,認める,declare to be true or admit the existence or reality or truth of
acknowledgment,了承,the state or quality of being recognized or acknowledged
acquaintance,知り合い,personal knowledge or information about someone or something
acquire,取得,come into the possession of something concrete or abstract
act,行為,a legal document codifying the result of deliberations of a committee or society or legislative body
active,アクティブ,chemical agent capable of activity
actress,女優,a female actor
ad,広告,a public promotion of some product or service
adapt,適応する,"make fit for, or change to suit a new purpose"
address,住所,(computer science) the code that identifies where a piece of information is stored
addressee,受取人,one to whom something is addressed
administration,行政,a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
admiration,感嘆,a feeling of delighted approval and liking
admission,入場,the act of admitting someone to enter
adopt,採用,"choose and follow; as of theories, ideas, policies, strategies or plans"
adorable,愛らしいです,lovable especially in a childlike or naive way
advance,前進,a movement forward
adverb,副詞,the word class that qualifies verbs or clauses
adverbial,副詞,a word or group of words function as an adverb
advert,広告,a public promotion of some product or service
advertise,宣伝します,call attention to
adviser,顧問,an expert who gives advice
aerobics,エアロビクス,exercise that increases the need for oxygen
affect,影響を及ぼす,the conscious subjective aspect of feeling or emotion
affection,愛情,a positive feeling of liking
afford,与えます,be able to spare or give up
after,後に,located farther aft
afterward,その後,happening at a time subsequent to a reference time
agenda,議題,a temporally organized plan for matters to be attended to
aggressive,アグレッシブ,having or showing determination and energetic pursuit of your ends
agreement,契約,the statement (oral or written) of an exchange of promises
agricultural,農業の,relating to or used in or promoting agriculture or farming
agriculture,農業,a large-scale farming enterprise
aid,援助,a resource
aim,目的,an anticipated outcome that is intended or that guides your planned actions
airline,エアライン,a hose that carries air under pressure
alarm,警報,fear resulting from the awareness of danger
alcohol,アルコール,a liquor or brew containing alcohol as the active agent
alcoholic,アルコール性の,a person who drinks alcohol to excess habitually
alike,共に,having the same or similar characteristics
allergic,アレルギー,characterized by or caused by allergy
allowance,手当,an amount allowed or granted (as during a given period)
aloud,声を出して,using the voice; not silently
alphabet,アルファベット,a character set that includes letters and is used to write a language
alternative,選択肢,one of a number of things from which only one can be chosen
altogether,全く,informal terms for nakedness
amazed,びっくりしました,affect with wonder
amazing,素晴らしいです,affect with wonder
ambitious,野心的な,having a strong desire for success or achievement
ambulance,救急車,a vehicle that takes people to and from hospitals
amount,量,a quantity of money
amusing,面白い,"occupy in an agreeable, entertaining or pleasant fashion"
analysis,分析,an investigation of the component parts of a whole and their relations in making up the whole
analyze,分析します,consider in detail and subject to an analysis in order to discover essential features or meaning
anger,怒り,a strong emotion; a feeling that is oriented toward some real or supposed grievance
angle,角度,the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
animated,アニメーション,heighten or intensify
animation,アニメーション,the condition of living or the state of being alive
announce,アナウンス,make known; make an announcement
announcement,発表,a formal public statement
annoyance,迷惑,the psychological state of being irritated or annoyed
annoyed,イライラ,"cause annoyance in; disturb, especially by minor irritations"
annual,毎年の,(botany) a plant that completes its entire life cycle within the space of a year
annually,毎年,without missing a year
ant,蟻,social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers
anti,抗,a person who is opposed (to an action or policy or practice etc.)
antique,アンティーク,an elderly man
antonym,対義語,"a word that expresses a meaning opposed to the meaning of another word, in which case the two words are antonyms of each other"
anxiety,不安,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic"
anxiously,心配して,with anxiety or apprehension
anyhow,どうせ,used to indicate that a statement explains or supports a previous statement
ape,猿,any of various primates with short tails or no tail at all
apology,謝罪,an expression of regret at having caused trouble for someone
apparent,見かけ上,clearly revealed to the mind or the senses or judgment
appeal,アピール,earnest or urgent request
appetite,食欲,a feeling of craving something; ; - Granville Hicks
applaud,拍手,clap one's hands or shout after performances to indicate approval
applause,拍手,a demonstration of approval by clapping the hands together
application,応用,the act of bringing something to bear; using it for a particular purpose
appoint,任命します,create and charge with a task or function
appreciation,感謝,understanding of the nature or meaning or quality or magnitude of something
approach,アプローチ,ideas or actions intended to deal with a problem or situation
approval,承認,the formal act of approving
approve,認めます,give sanction to
approximately,約,(of quantities) imprecise but fairly close to correct
architect,建築家,someone who creates plans to be used in making something (such as buildings)
arise,生じます,come into existence; take on form or shape
arithmetic,算術,the branch of pure mathematics dealing with the theory of numerical calculations
arm,腕,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
army,軍,a permanent organization of the military land forces of a nation or state
arrange,アレンジ,put into a proper or systematic order
arrangement,配置,the thing arranged or agreed to
arrest,逮捕,the act of apprehending (especially apprehending a criminal)
arrival,到着,accomplishment of an objective
arrow,矢印,a mark to indicate a direction or relation
artist,アーティスト,a person whose creative work shows sensitivity and imagination
artistic,芸術的,relating to or characteristic of art or artists
ashamed,恥ずかしい,feeling shame or guilt or embarrassment or remorse
aside,さておき,a line spoken by an actor to the audience but not intended for others on the stage
aspect,側面,a distinct feature or element in a problem
aspirin,アスピリン,"the acetylated derivative of salicylic acid; used as an analgesic anti-inflammatory drug (trade names Bayer, Empirin, and St. Joseph) usually taken in tablet form; used as an antipyretic; slows clotting of the blood by poisoning platelets"
assign,割当,"give an assignment to (a person) to a post, or assign a task to (a person)"
assignment,割り当て,a duty that you are assigned to perform (especially in the armed forces)
assist,支援する,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
assistance,援助,the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose
assistant,アシスタント,a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
associate,仲間、同僚,a person who joins with others in some activity or endeavor
assume,仮定,take to be the case or to be true; accept without verification or proof
astronomer,天文学者,a physicist who studies astronomy
athletic,アスレチック,relating to or befitting athletics or athletes
Atlantic,大西洋の,the 2nd largest ocean; separates North and South America on the west from Europe and Africa on the east
atmosphere,雰囲気,a particular environment or surrounding influence
atomic,アトミック,of or relating to or comprising atoms
attach,アタッチ,cause to be attached
attachment,アタッチメント,a feeling of affection for a person or an institution
attain,達します,to gain with effort
attempt,試み,earnest and conscientious activity intended to do or accomplish something
attend,出席,"be present at (meetings, church services, university), etc."
attract,引き付けます,direct toward itself or oneself by means of some psychological power or physical attributes
attraction,魅力,the force by which one object attracts another
authority,権限,the power or right to give orders or make decisions
auxiliary,補助,someone who acts as assistant
available,利用できます,obtainable or accessible and ready for use or service
avenue,アベニュー,a line of approach
award,賞,a grant made by a law court
aware,気がついて,(sometimes followed by `of') having or showing knowledge or understanding or realization or perception
awareness,意識,having knowledge of
awesome,驚くばかり,inspiring awe or admiration or wonder; ; ; ; - Melville
awkward,ぎこちありません,causing inconvenience
babysitter,ベビーシッター,a person engaged to care for children when the parents are not home
back,バック,the posterior part of a human (or animal) body from the neck to the end of the spine
backache,背中の痛み,an ache localized in the back
backpack,バックパック,a bag carried by a strap on your back or shoulder
backpacker,バックパッカー,a hiker who wears a backpack
backpacking,バックパッキング,carrying something in a pack on the back
bacon,ベーコン,back and sides of a hog salted and dried or smoked; usually sliced thin and fried
baggage,荷物,cases used to carry belongings when traveling
baker,パン屋さん,someone who bakes commercially
bakery,ベーカリー,a workplace where baked goods (breads and cakes and pastries) are produced or sold
balance,残高,a state of equilibrium
bald,はげました,grow bald; lose hair on one's head
bandage,包帯,a piece of soft material that covers and protects an injured part of the body
bang,強打,a vigorous blow
bar,バー,a room or establishment where alcoholic drinks are served over a counter
barbecue,バーベキュー,meat that has been barbecued or grilled in a highly seasoned sauce
bare,裸,lay bare
barely,かろうじて,only a very short time before; ; ; ; ; - W.B.Yeats
bark,吠える,tough protective covering of the woody stems and roots of trees and other woody plants
barman,バーテンダー,an employee who mixes and serves alcoholic drinks at a bar
barrel,たる,a tube through which a bullet travels when a gun is fired
base,ベース,installation from which a military force initiates operations
basement,地下,the lowermost portion of a structure partly or wholly below ground level; often used for storage
basin,たらい,a bowl-shaped vessel; usually used for holding food or liquids
basis,基礎,a relation that provides the foundation for something
bat,コウモリ,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
bathe,入浴,the act of swimming
battle,戦い,a hostile meeting of opposing military forces in the course of a war
beard,髭,the hair growing on the lower part of a man's face
beast,獣,a living organism characterized by voluntary movement
beat,ビート,a regular route for a sentry or policeman
beautifully,美しく,in a beautiful manner
beaver,ビーバー,the soft brown fur of the beaver
bedside,枕元,space by the side of a bed (especially the bed of a sick or dying person)
behalf,代わっ,as the agent of or on someone's part (usually expressed as  rather than )
behave,振る舞います,behave in a certain manner; show a certain behavior; conduct or comport oneself
belief,信念,any cognitive content held as true
beloved,愛されし者,a beloved person; used as terms of endearment
beneath,下に,in or to a place that is lower
benefit,ベネフィット,financial assistance in time of need
bent,屈曲,a relatively permanent inclination to react in a particular way
besides,さらに,making an additional point; anyway
bet,ベット,the money risked on a gamble
bilingual,バイリンガル,a person who speaks two languages fluently
bill,ビル,a statute in draft before it becomes law
bin,置き場,a container; usually has a lid
biochemistry,生化学,the organic chemistry of compounds and processes occurring in organisms; the effort to understand biology within the context of chemistry
biography,バイオグラフィー,an account of the series of events making up a person's life
biology,生物学,the science that studies living organisms
bishop,司教,a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ
bite,一口,a wound resulting from biting by an animal or a person
bitter,苦い,English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)
blame,責め,an accusation that you are responsible for some lapse or misdeed
bleed,ブリード,lose blood from one's body
blend,ブレンド,an occurrence of thorough mixing
bless,祝福,give a benediction to
blessing,祝福,the formal act of approving
blind,ブラインド,"people who have severe visual impairments, considered as a group"
block,ブロック,a solid piece of something (usually having flat rectangular sides)
blog,ブログ,a shared on-line journal where people can post diary entries about their personal experiences and hobbies
blogger,ブロガー,a person who keeps and updates a blog
blush,赤面,a rosy color (especially in the cheeks) taken as a sign of good health
board,ボード,a committee having supervisory powers
boast,自慢,speaking of yourself in superlatives
bold,大胆な,a typeface with thick heavy lines
boldly,大胆に,"with boldness, in a bold manner"
bomb,爆弾,an explosive device fused to explode under specific conditions
bond,つなぐ,an electrical force linking atoms
book,本,a written work or composition that has been published (printed on pages bound together)
booking,予約,employment for performers or performing groups that lasts for a limited period of time
boom,ブーム,a deep prolonged loud noise
boot,ブート,footwear that covers the whole foot and lower leg
border,境界,a line that indicates a boundary
bore,退屈させる,a person who evokes boredom
boredom,退屈,the feeling of being bored by something tedious
bother,煩わします,an angry disturbance
bounce,跳ねる、弾む,the quality of a substance that is able to rebound
bound,バウンド,a line determining the limits of an area
bow,弓,a knot with two loops and loose ends; used to tie shoelaces
bowl,丼鉢,a round vessel that is open at the top; used chiefly for holding food or liquids
boxing,ボクシング,fighting with the fists
bracelet,ブレスレット,a band of cloth or leather or metal links attached to a wristwatch and wrapped around the wrist
brainstorming,ブレーンストーミング,a group problem-solving technique in which members spontaneously share ideas and solutions
branch,ブランチ,a division of some larger or more complex organization
brand-new,真新しい,conspicuously new
brass,真鍮,an alloy of copper and zinc
bravely,潔く,in a courageous manner
breakthrough,突破口,a productive insight
breast,乳,the front of the trunk from the neck to the abdomen
breath,呼吸,the process of taking in and expelling air during breathing
breathless,ブレスレス,not breathing or able to breathe except with difficulty
breed,繁殖,a special variety of domesticated animals within a species
breeding,育種,elegance by virtue of fineness of manner and expression
brick,煉瓦,rectangular block of clay baked by the sun or in a kiln; used as a building or paving material
brief,ブリーフ,a document stating the facts and points of law of a client's case
briefly,簡単に,for a short time
brightly,明るく,with brightness
broad,幅広いです,slang term for a woman
broadcast,放送,message that is transmitted by radio or television
broccoli,ブロッコリ,plant with dense clusters of tight green flower buds
bronze,ブロンズ,an alloy of copper and tin and sometimes other elements; also any copper-base alloy containing other elements in place of tin
brotherhood,兄弟愛,the kinship relation between a male offspring and the siblings
bubble,バブル,"a hollow globule of gas (e.g., air or carbon dioxide)"
buddy,バディ,a close friend who accompanies his buddies in their activities
builder,ビルダー,a substance added to soaps or detergents to increase their cleansing action
bull,ブル,uncastrated adult male of domestic cattle
bullet,弾丸,a projectile that is fired from a gun
bulletin,会報,a brief report (especially an official statement issued for immediate publication or broadcast)
bump,バンプ,a lump on the body caused by a blow
bunch,束,a grouping of a number of similar things
burden,重荷,an onerous or difficult concern
bureau,局,an administrative unit of government
burglar,泥棒,a thief who enters a building with intent to steal
burn,燃やす,pain that feels hot as if it were on fire
burning,燃焼,the act of burning something
burst,バースト,the act of exploding or bursting
bust,バスト,a complete failure
but,だが,and nothing more
butcher,肉屋,a retailer of meat
buyer,買い手,a person who buys
cabbage,キャベツ,any of various types of cabbage
cabin,キャビン,small room on a ship or boat where people sleep
cage,ケージ,an enclosure made or wire or metal bars in which birds or animals can be kept
calculate,計算,make a mathematical calculation or computation
calculation,計算,the procedure of calculating; determining something by mathematical or logical methods
calculator,電卓,an expert at calculation (or at operating calculating machines)
calf,ふくらはぎ,young of domestic cattle
caller,呼び出し側,a social or business visitor
calm,穏やか,steadiness of mind under stress
calmness,静けさ,steadiness of mind under stress
camel,キャメル,cud-chewing mammal used as a draft or saddle animal in desert regions
campsite,キャンプサイト,a site where people on holiday can pitch a tent
canal,運河,(astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion
cancel,キャンセル,a notation cancelling a previous sharp or flat
cancer,癌,any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
candle,キャンドル,stick of wax with a wick in the middle
canned,缶詰,preserve in a can or tin
canteen,水筒,a flask for carrying water; used by soldiers or travelers
capable,できます,(usually followed by `of') having capacity or ability
capacity,容量,capability to perform or produce
capsule,カプセル,a small container
capture,キャプチャー,the act of forcibly dispossessing an owner of property
care,お手入れ,the work of providing treatment for or attending to someone or something
career,キャリア,the particular occupation for which you are trained
careless,不注意な,marked by lack of attention or consideration or forethought or thoroughness; not careful
carelessly,うっかり,without care or concern
carelessness,不注意,the quality of not being careful or taking pains
carpet,カーペット,floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
carriage,キャリッジ,a railcar where passengers ride
carton,カートン,the quantity contained in a carton
casual,カジュアル,marked by blithe unconcern
categorize,分類,place into or assign to a category
category,カテゴリー,a collection of things sharing a common attribute
cattle,牛,domesticated bovine animals as a group regardless of sex or age; ; ; - Bible
caution,注意,the trait of being cautious; being attentive to possible danger
cautious,慎重,people who are fearful and cautious
cave,洞窟,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea
CD-ROM,のCD-ROM,a compact disk that is used with a computer (rather than with an audio system); a large amount of digital information can be stored and accessed but it cannot be altered by the user
celebrity,有名人,a widely known person
cell,細胞,any small compartment
central,セントラル,a workplace that serves as a telecommunications facility where lines from telephones can be connected together to permit communication
ceremony,式,a formal event performed on a special occasion
certainty,確実,the state of being certain
challenging,挑戦,take exception to
champion,チャンピオン,someone who has won first place in a competition
channel,チャネル,a path over which electrical signals can pass
chaos,混沌,a state of extreme confusion and disorder
characteristic,特性,a prominent attribute or aspect of something
characterize,特徴づけます,describe or portray the character or the qualities or peculiarities of
charge,充電,an impetuous rush toward someone or something
chariot,チャリオット,a light four-wheel horse-drawn ceremonial carriage
charity,チャリティ,a foundation created to promote the public good (not for assistance to any particular individuals)
charm,チャーム,attractiveness that interests or pleases or stimulates
chase,追跡,the act of pursuing in an effort to overtake or capture
chat,チャット,an informal conversation
checkout,チェックアウト,the act of inspecting or verifying
cheerful,陽気な,being full of or promoting cheer; having or showing good spirits
chemical,ケミカル,material produced by or used in a reaction involving changes in atoms or molecules
chemist,化学者,a scientist who specializes in chemistry
chemistry,化学,the science of matter; the branch of the natural sciences dealing with the composition of substances and their properties and reactions
cherish,チェリッシュ,be fond of; be attached to
chief,チーフ,a person who is in charge
choir,合唱団,a chorus that sings as part of a religious ceremony
choke,むせさせる,a coil of low resistance and high inductance used in electrical circuits to pass direct current and attenuate alternating current
Christian,キリスト教徒,a religious person who believes Jesus is the Christ and who is a member of a Christian denomination
chronological,時系列,relating to or arranged according to temporal order
chuckle,含み笑い,a soft partly suppressed laugh
circle,サークル,ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point
circular,円形の,an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
circus,サーカス,a travelling company of entertainers; including trained animals
citizenship,市民権,the status of a citizen with rights and duties
civil,民事上,applying to ordinary citizens as contrasted with the military
