英単語,日本語意味,英語意味
abandoned,捨てられました,"forsake, leave behind"
abnormally,異常,in an abnormal manner
abolish,廃止,do away with
aboriginal,土着,a dark-skinned member of a race of people living in Australia when Europeans arrived
abruptly,突然,quickly and without warning
absentee,欠席者,one that is absent or not in residence
absurd,不合理,a situation in which life seems irrational and meaningless; --Albert Camus
abuse,乱用,cruel or inhumane treatment
access,アクセス,the right to enter
accessibility,アクセス,the quality of being at hand when needed
accommodation,収容,making or becoming suitable; adjusting to circumstances
accordingly,それに応じて,(sentence connectors) because of the reason given
accumulate,累積,get or gather together
accusation,告訴,a formal charge of wrongdoing brought against a person; the act of imputing blame or guilt
ache,痛み,a dull persistent (usually moderately intense) pain
achievable,達成できます,capable of existing or taking place or proving true; possible to do
acid,酸,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
acquisition,取得,the act of contracting or assuming or acquiring possession of something
actively,積極的に,in an active manner
actual,実際の,presently existing in fact and not merely potential or possible
acute,急性,a mark (') placed above a vowel to indicate pronunciation
adaptable,適合,capable of adapting (of becoming or being made suitable) to a particular situation or use
addict,中毒,someone who is so ardently devoted to something that it resembles an addiction
addicted,中毒,"to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)"
addiction,常用癖,being abnormally tolerant to and dependent on something that is psychologically or physically habit-forming (especially alcohol or narcotic drugs)
additionally,さらに,"in addition, by way of addition; furthermore"
adequate,十分な,having the requisite qualities or resources to meet a task
adequately,適切,in an adequate manner or to an adequate degree
adjustment,調整,making or becoming suitable; adjusting to circumstances
administrative,行政の,of or relating to or responsible for administration
admirable,殊勝,deserving of the highest esteem or admiration
admiringly,うっとり,with admiration
admittedly,確かに,as acknowledged
adopted,採用,"choose and follow; as of theories, ideas, policies, strategies or plans"
adoption,可決,the act of accepting with approval; favorable reception
adore,崇拝します,love intensely
adorn,飾る,"make more attractive by adding ornament, colour, etc."
advance,前進,a movement forward
advancement,アドバンス,encouragement of the progress or growth or acceptance of something
advent,降臨,arrival that has been awaited (especially of something momentous)
adventurous,冒険好きな,willing to undertake or seeking out new and daring enterprises
adverse,不利な,contrary to your interests or welfare
adversely,悪,in an adverse manner
adversity,逆境,a state of misfortune or affliction
affectionate,優しいです,having or displaying warmth or affection
affectionately,愛情を込めて,with affection
affordable,手頃な価格,that you have the financial means for
ageless,永遠,continuing forever or indefinitely
aggressively,積極的に,in an aggressive manner
agonize,アゴニスト作用,cause to agonize
agony,苦しみ,intense feelings of suffering; acute mental or physical pain
aim,目的,an anticipated outcome that is intended or that guides your planned actions
aircraft,航空機,a vehicle that can fly
aircrew,乗組員,the crew of an aircraft
alcoholic,アルコール性の,a person who drinks alcohol to excess habitually
alcoholism,アルコール依存症,habitual intoxication; prolonged and excessive intake of alcoholic drinks leading to a breakdown in health and an addiction to alcohol such that abrupt deprivation leads to severe withdrawal symptoms
alert,警報,condition of heightened watchfulness or preparation for action
allegation,申し立て,(law) a formal accusation against somebody (often in a court of law)
alliance,アライアンス,the state of being allied or confederated
ally,味方,a friendly nation
alongside,そばに,side by side
alphabetical,アルファベット,relating to or expressed by a writing system that uses an alphabet
altar,祭壇,the table in Christian churches where communion is given
alter,ALTER,cause to change; make different; cause a transformation
alternate,代わりの,someone who takes the place of another person
alternatively,或いは,"in place of, or as an alternative to"
altitude,高度,elevation especially above sea level or above the earth's surface
aluminum,アルミニウム,a silvery ductile metallic element found primarily in bauxite
amaze,驚か,affect with wonder
amazement,驚き,the feeling that accompanies something extremely surprising
amazingly,驚くほど,in an amazing manner; to everyone's surprise
ambassador,大使,a diplomat of the highest rank; accredited as representative from one country to another
ambiguity,あいまいさ,an expression whose meaning cannot be determined from its context
ambiguous,あいまいな,open to two or more interpretations; or of uncertain nature or significance; or (often) intended to mislead
ammonia,アンモニア,a water solution of ammonia
ample,十分な,more than enough in size or scope or capacity
