英単語,日本語意味,英語意味
abandon,放棄します,the trait of lacking restraint or control; reckless freedom from inhibition or worry
ability,能力,the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment
able,できます,(usually followed by `to') having the necessary means or skill or know-how or authority to do something
abortion,中絶,termination of pregnancy
about,約,on the move
above,上記,an earlier section of a written text
abroad,海外へ,in a foreign country
absence,不在,the state of being absent
absolute,絶対の,something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative
absolutely,全く,completely and without qualification; used informally as intensifiers
absorb,吸収する,become imbued
abuse,乱用,cruel or inhumane treatment
academic,アカデミック,an educator who works at a college or university
accept,受け入れます,consider or hold as true
access,アクセス,the right to enter
accident,事故,an unfortunate mishap; especially one causing damage or injury
accompany,添えます,be present or associated with an event or entity
accomplish,成し遂げます,put in effect
according,従っ,go together
account,アカウント,a record or narrative description of past events
accurate,正確,conforming exactly or almost exactly to fact or to a standard or performing with total accuracy
accuse,訴えます,bring an accusation against; level a charge against
achieve,成し遂げる,to gain with effort
achievement,成果,the action of accomplishing something
acid,酸,any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
acknowledge,認める,declare to be true or admit the existence or reality or truth of
acquire,取得,come into the possession of something concrete or abstract
across,横切って,to the opposite side
act,行為,a legal document codifying the result of deliberations of a committee or society or legislative body
action,アクション,something done (usually as opposed to something said)
active,アクティブ,chemical agent capable of activity
activist,活動家,a militant reformer
activity,アクティビティ,any specific behavior
actor,俳優,a theatrical performer
actress,女優,a female actor
actual,実際の,presently existing in fact and not merely potential or possible
actually,実際,in actual fact
ad,広告,a public promotion of some product or service
adapt,適応する,"make fit for, or change to suit a new purpose"
add,追加,a condition (mostly in boys) characterized by behavioral and learning disorders
addition,添加,a component that is added to something to improve it
additional,追加,further or added
address,住所,(computer science) the code that identifies where a piece of information is stored
adequate,十分な,having the requisite qualities or resources to meet a task
adjust,調節します,alter or regulate so as to achieve accuracy or conform to a standard
adjustment,調整,making or becoming suitable; adjusting to circumstances
administration,行政,a method of tending to or managing the affairs of a some group of people (especially the group's business affairs)
administrator,管理者,someone who administers a business
admire,賞賛,feel admiration for
admission,入場,the act of admitting someone to enter
admit,認めます,declare to be true or admit the existence or reality or truth of
adolescent,思春期,a juvenile between the onset of puberty and maturity
adopt,採用,"choose and follow; as of theories, ideas, policies, strategies or plans"
adult,大人,a fully developed person from maturity onward
advance,前進,a movement forward
advanced,高度,"move forward, also in the metaphorical sense"
advantage,利点,the quality of having a superior or more favorable position
adventure,冒険,a wild and exciting undertaking (not necessarily lawful)
advertising,広告,a public promotion of some product or service
advice,助言,a proposal for an appropriate course of action
advise,アドバイス,give advice to
adviser,顧問,an expert who gives advice
advocate,提唱する,a person who pleads for a cause or propounds an idea
affair,事件、出来事,a vaguely specified concern
affect,影響を及ぼす,the conscious subjective aspect of feeling or emotion
afford,与えます,be able to spare or give up
afraid,恐れ,filled with fear or apprehension
African,アフリカの,a native or inhabitant of Africa
African-American,アフリカ系アメリカ人,an American whose ancestors were born in Africa
after,後に,located farther aft
afternoon,午後,the part of the day between noon and evening
again,再び,anew
age,年齢,how long something has existed
agency,代理店,an administrative unit of government
agenda,議題,a temporally organized plan for matters to be attended to
agent,エージェント,an active and efficient cause; capable of producing a certain effect
aggressive,アグレッシブ,having or showing determination and energetic pursuit of your ends
ago,前,gone by; or in the past
agree,一致します,be in accord; be in agreement
agreement,契約,the statement (oral or written) of an exchange of promises
agricultural,農業の,relating to or used in or promoting agriculture or farming
ahead,先に,having the leading position or higher score in a contest
aid,援助,a resource
aide,副官,an officer who acts as military assistant to a more senior officer
AIDS,AIDS,a serious (often fatal) disease of the immune system transmitted through blood products especially by sexual contact or contaminated needles
aim,目的,an anticipated outcome that is intended or that guides your planned actions
air,空気,a mixture of gases (especially oxygen) required for breathing; the stuff that the wind consists of
aircraft,航空機,a vehicle that can fly
airline,エアライン,a hose that carries air under pressure
airport,空港,an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
album,アルバム,one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
alcohol,アルコール,a liquor or brew containing alcohol as the active agent
alive,生きています,possessing life
all,すべて,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class
alliance,アライアンス,the state of being allied or confederated
allow,許します,make it possible through a specific action or lack of action for something to happen
ally,味方,a friendly nation
almost,ほとんど,(of actions or states) slightly short of or not quite accomplished; all but
alone,一人で,isolated from others
along,沿って,with a forward motion
already,既に,prior to a specified or implied time
also,さらに,in addition
alter,ALTER,cause to change; make different; cause a transformation
alternative,選択肢,one of a number of things from which only one can be chosen
always,常に,at all times; all the time and on every occasion
AM,AM,a radioactive transuranic metallic element; discovered by bombarding uranium with helium atoms
amazing,素晴らしいです,affect with wonder
American,アメリカン,a native or inhabitant of the United States
amount,量,a quantity of money
analysis,分析,an investigation of the component parts of a whole and their relations in making up the whole
analyst,アナリスト,someone who is skilled at analyzing data
analyze,分析します,consider in detail and subject to an analysis in order to discover essential features or meaning
ancient,古代,a very old person
anger,怒り,a strong emotion; a feeling that is oriented toward some real or supposed grievance
angle,角度,the space between two lines or planes that intersect; the inclination of one line to another; measured in degrees or radians
angry,怒りました,feeling or showing anger
animal,動物,a living organism characterized by voluntary movement
anniversary,記念日,the date on which an event occurred in some previous year (or the celebration of it)
announce,アナウンス,make known; make an announcement
annual,毎年の,(botany) a plant that completes its entire life cycle within the space of a year
another,別の,any of various alternatives; some other
answer,回答,a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation
anticipate,予想します,regard something as probable or likely
